"Rubrica","Desembolso pelo MP",1,2,3,4,"Total"
"33.90.14","Diárias – Civil","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00"
"33.90.14.15","Diárias no exterior – Civil","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00"
"33.90.20","Auxílio Financeiro a Pesquisadores","R$ 154.400,00","R$ 950.800,00","R$ 1.260.000,00","R$ 550.000,00","R$ 2.915.200,00"
"33.90.30","Material de Consumo","R$ 4.125,00","R$ 12.000,00","R$ 10.400,00","R$ 0,00","R$ 26.525,00"
"33.90.33","Passagens e Despesas com Locomoção","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00"
"33.90.36","Outros Serviços de Terceiros - Pessoa Física","R$ 0,00","R$ 0,00","R$ 25.200,00","R$ 0,00","R$ 25.200,00"
"33.90.36.02","Diárias a Colaboradores Eventuais no País","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00"
"33.90.39","Outros Serviços de Terceiros - Pessoa Jurídica","R$ 0,00","R$ 24.000,00","R$ 30.000,00","R$ 0,00","R$ 54.000,00"
"33.91.47","Obrigações Tributárias e Contributivas","R$ 0,00","R$ 0,00","R$ 5.040,00","R$ 0,00","R$ 5.040,00"
"44.90.52","Equipamentos e Material Permanente","R$ 0,00","R$ 60.000,00","R$ 84.000,00","R$ 72.000,00","R$ 216.000,00"
,"Total","R$ 158.525,00","R$ 1.046.800,00","R$ 1.414.640,00","R$ 622.000,00","R$ 3.241.965,00"
